127.0.0.1 - - [16/May/2024:09:33:33 +0900] "GET / HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /admin/security/login.do HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/css/layout.css HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/user/css/adminLogin.css HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/css/sub.css HTTP/1.1" 200 18394
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/css/common.css HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/css/admin.css HTTP/1.1" 200 24458
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/css/bootstrap.min.css HTTP/1.1" 200 121202
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/js/jquery/jquery-1.11.0.min.js HTTP/1.1" 200 96383
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/js/common.js HTTP/1.1" 200 23278
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/admin/js/const.js HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:56 +0900] "GET /static/valuationAdm/css/stylesNew.css HTTP/1.1" 200 10348
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:57 +0900] "GET /static/valuationAdm/assets/images/login_logo.png HTTP/1.1" 200 12719
0:0:0:0:0:0:0:1 - - [16/May/2024:09:33:57 +0900] "GET /static/admin/fonts/NotoSansKR-Medium.woff2 HTTP/1.1" 200 1023900
